#Exudyn implicit second order time integration solver solution file
#simulation started=2024-09-13,21:49:19
#columns contain: time, ODE2 displacements, ODE2 velocities, ODE2 accelerations
#number of system coordinates [nODE2, nODE1, nAlgebraic, nData] = [3,0,0,0]
#number of written coordinates [nODE2, nVel2, nAcc2, nODE1, nVel1, nAlgebraic, nData] = [3,3,3,0,0,0,0]
#total columns exported  (excl. time) = 9
#number of time steps (planned) = 10000
#Exudyn version = 1.8.0; Python3.12.1; Windows AVX2 FLOAT64
#
0,-0.08,0,0,1,0,0,-2.871032558,0,0
0.005,-0.07503569697,0,0,0.9857570158,0,0,-2.826276244,0,0
0.01,-0.07014205246,0,0,0.9717360244,0,0,-2.782233573,0,0
0.015,-0.06531796536,0,0,0.9579334863,0,0,-2.738893107,0,0
0.02,-0.06056235215,0,0,0.9443459187,0,0,-2.696243588,0,0
0.025,-0.05587414655,0,0,0.9309698946,0,0,-2.654273943,0,0
0.03,-0.05125229931,0,0,0.917802042,0,0,-2.612973272,0,0
0.035,-0.04669577788,0,0,0.9048390429,0,0,-2.572330853,0,0
0.04,-0.04220356619,0,0,0.8920776324,0,0,-2.532336136,0,0
0.045,-0.03777466432,0,0,0.8795145981,0,0,-2.492978739,0,0
0.05,-0.03340808834,0,0,0.867146779,0,0,-2.454248448,0,0
0.055,-0.02910286996,0,0,0.8549710646,0,0,-2.416135211,0,0
0.06,-0.02485805632,0,0,0.8429843947,0,0,-2.378629139,0,0
0.065,-0.02067270976,0,0,0.8311837576,0,0,-2.341720502,0,0
0.07,-0.01654590753,0,0,0.8195661903,0,0,-2.305399724,0,0
0.075,-0.0124767416,0,0,0.808128777,0,0,-2.269657386,0,0
0.08,-0.008464318377,0,0,0.7968686489,0,0,-2.234484216,0,0
0.085,-0.004507758524,0,0,0.7857829828,0,0,-2.199871095,0,0
0.09,-0.000606196688,0,0,0.7748690011,0,0,-2.165809047,0,0
0.095,0.003241218702,0,0,0.7641239705,0,0,-2.132289242,0,0
0.1,0.00703532566,0,0,0.7535452017,0,0,-2.099302991,0,0
0.105,0.01077694886,0,0,0.7431300481,0,0,-2.066841745,0,0
0.11,0.01446689986,0,0,0.732875906,0,0,-2.034897091,0,0
0.115,0.01810597728,0,0,0.7227802131,0,0,-2.003460753,0,0
0.12,0.02169496706,0,0,0.7128404482,0,0,-1.972524585,0,0
0.125,0.02523464262,0,0,0.7030541306,0,0,-1.942080574,0,0
0.13,0.02872576508,0,0,0.6934188192,0,0,-1.912120836,0,0
0.135,0.03216908344,0,0,0.6839321121,0,0,-1.882637611,0,0
0.14,0.03556533481,0,0,0.674591646,0,0,-1.853623265,0,0
0.145,0.03891524456,0,0,0.6653950952,0,0,-1.825070288,0,0
0.15,0.04221952652,0,0,0.6563401714,0,0,-1.796971287,0,0
0.155,0.04547888321,0,0,0.6474246229,0,0,-1.769318991,0,0
0.16,0.04869400592,0,0,0.6386462342,0,0,-1.742106244,0,0
0.165,0.05186557501,0,0,0.6300028252,0,0,-1.715326005,0,0
0.17,0.05499425999,0,0,0.6214922507,0,0,-1.688971346,0,0
0.175,0.05808071975,0,0,0.6131123999,0,0,-1.663035451,0,0
0.18,0.06112560269,0,0,0.6048611957,0,0,-1.637511611,0,0
0.185,0.06412954693,0,0,0.5967365945,0,0,-1.612393228,0,0
0.19,0.06709318044,0,0,0.5887365852,0,0,-1.587673808,0,0
0.195,0.07001712122,0,0,0.580859189,0,0,-1.56334696,0,0
0.2,0.07290197746,0,0,0.5731024589,0,0,-1.539406399,0,0
0.205,0.07574834768,0,0,0.5654644789,0,0,-1.515845937,0,0
0.21,0.07855682092,0,0,0.5579433637,0,0,-1.492659489,0,0
0.215,0.08132797683,0,0,0.5505372583,0,0,-1.469841064,0,0
0.22,0.08406238591,0,0,0.5432443375,0,0,-1.447384769,0,0
0.225,0.08676060957,0,0,0.5360628049,0,0,-1.425284807,0,0
0.23,0.08942320031,0,0,0.5289908933,0,0,-1.403535471,0,0
0.235,0.0920507019,0,0,0.5220268637,0,0,-1.382131147,0,0
0.24,0.09464364944,0,0,0.5151690047,0,0,-1.361066312,0,0
0.245,0.09720256957,0,0,0.5084156327,0,0,-1.34033553,0,0
0.25,0.09972798058,0,0,0.5017650906,0,0,-1.319933454,0,0
0.255,0.1022203925,0,0,0.4952157483,0,0,-1.29985482,0,0
0.26,0.1046803074,0,0,0.4887660014,0,0,-1.280094451,0,0
0.265,0.1071082192,0,0,0.4824142714,0,0,-1.260647253,0,0
0.27,0.1095046141,0,0,0.476159005,0,0,-1.241508212,0,0
0.275,0.1118699706,0,0,0.4699986738,0,0,-1.222672395,0,0
0.28,0.1142047596,0,0,0.4639317738,0,0,-1.20413495,0,0
0.285,0.1165094446,0,0,0.4579568252,0,0,-1.185891101,0,0
0.29,0.1187844817,0,0,0.4520723717,0,0,-1.167936148,0,0
0.295,0.1210303198,0,0,0.4462769804,0,0,-1.150265469,0,0
0.3,0.1232474005,0,0,0.4405692415,0,0,-1.132874513,0,0
0.305,0.1254361588,0,0,0.4349477674,0,0,-1.115758805,0,0
0.31,0.1275970225,0,0,0.429411193,0,0,-1.09891394,0,0
0.315,0.1297304128,0,0,0.4239581749,0,0,-1.082335584,0,0
0.32,0.1318367441,0,0,0.4185873913,0,0,-1.066019472,0,0
0.325,0.1339164243,0,0,0.4132975415,0,0,-1.049961409,0,0
0.33,0.1359698549,0,0,0.4080873456,0,0,-1.034157266,0,0
0.335,0.137997431,0,0,0.4029555441,0,0,-1.01860298,0,0
